DATE,MAXT (0.1 C),MINT (0.1 C),AVGT (0.1 C),MINU (%),MAXU (%),MAXP (0.1 hPa),MINP (0.1 hPa),AVGP (0.1 hPa),AVGWS (0.1 m/s)
20150825,346,281,309,35,76,9992,9956,9982,18
20150826,327,262,283,48,89,10017,9993,10010,17
20150827,313,265,279,61,84,10025,9994,10008,21
20150828,315,262,279,59,87,10023,9972,9993,9
20150829,325,259,272,59,90,10002,9977,9988,9
20150830,300,257,270,69,90,10004,9982,9994,12
20150831,295,256,266,70,91,10013,9990,10001,9
20150901,301,265,277,67,86,10013,9991,10002,16
20150902,275,248,256,81,91,10049,10009,10034,14
20150903,297,254,276,71,85,10069,10042,10055,12
20150904,329,261,284,55,88,10072,10040,10059,14
20150905,329,263,291,50,90,10062,10011,10040,19
20150906,327,277,295,58,83,10031,9978,10010,27
20150907,294,255,285,70,89,10011,9981,9998,26
20150908,316,258,280,44,80,10030,10006,10019,17
20150909,317,259,282,48,76,10061,10027,10045,18
20150910,321,261,281,45,74,10076,10030,10053,19
20150911,307,264,278,55,78,10054,10010,10037,19
20150912,308,258,267,57,80,10054,10021,10043,16
20150913,308,250,273,48,73,10080,10036,10058,25
20150914,311,242,271,44,79,10075,10026,10051,25
20150915,326,254,282,44,76,10057,10016,10041,21
20150916,307,268,282,58,74,10056,10000,10045,16
20150917,314,259,283,53,80,10086,10053,10071,17
20150918,320,258,282,52,79,10095,10057,10078,15
20150919,317,259,280,55,84,10078,10022,10050,16
20150920,309,264,281,57,84,10047,9997,10023,14
20150921,278,240,261,68,93,10028,9996,10013,9
20150922,318,258,280,58,85,10042,10010,10026,12
20150923,324,260,287,50,88,10039,9996,10019,16
20150924,335,268,293,41,86,10018,9970,9996,17
20150925,332,273,298,53,85,9994,9954,9976,17
20150926,325,262,287,63,90,10011,9968,9994,11
20150927,321,260,286,51,86,10034,9991,10009,20
20150928,319,248,285,38,72,10019,9970,9999,26
20150929,326,261,293,36,53,9997,9968,9985,18
20150930,330,279,297,49,79,10051,9997,10034,14
20151001,321,269,284,60,87,10075,10036,10057,13
20151002,316,255,276,48,84,10071,10038,10053,20
20151003,284,247,263,64,89,10067,10030,10049,20
20151004,269,243,261,78,92,10071,10035,10054,28
20151005,277,252,263,76,91,10094,10067,10077,23
20151006,279,248,262,76,92,10089,10053,10067,17
20151007,275,251,263,77,91,10076,10039,10053,12
20151008,311,252,276,51,89,10058,10012,10034,18
20151009,295,233,265,49,80,10058,10027,10041,20
20151010,266,202,228,59,82,10093,10050,10068,28
20151011,220,176,197,46,88,10129,10083,10109,35
20151012,254,177,229,42,87,10133,10100,10117,9
20151013,289,224,248,37,71,10133,10094,10114,13
20151014,293,216,249,41,80,10123,10081,10101,15
20151015,296,216,251,42,81,10103,10054,10078,9
20151016,310,222,257,30,83,10087,10039,10065,13
20151017,310,222,257,21,87,10084,10040,10062,12
20151018,290,216,249,30,83,10074,10031,10053,16
20151019,271,213,246,40,70,10057,10000,10032,19
20151020,285,224,252,40,62,10033,9990,10014,14
20151021,303,231,255,44,71,10047,10012,10028,15
20151022,316,242,271,34,76,10064,10029,10047,13
